time	susceptible (total) median	susceptible (total) lower bound	susceptible (total) upper bound	severe (total) median	severe (total) lower bound	severe (total) upper bound	ICU (total) median	ICU (total) lower bound	ICU (total) upper bound	exposed (total) median	exposed (total) lower bound	exposed (total) upper bound	infectious (total) median	infectious (total) lower bound	infectious (total) upper bound	overflow (total) median	overflow (total) lower bound	overflow (total) upper bound	cumulative recovered (total) median	cumulative recovered (total) lower bound	cumulative recovered (total) upper bound	cumulative ICU (total) median	cumulative ICU (total) lower bound	cumulative ICU (total) upper bound	cumulative hospitalized (total) median	cumulative hospitalized (total) lower bound	cumulative hospitalized (total) upper bound	cumulative fatality (total) median	cumulative fatality (total) lower bound	cumulative fatality (total) upper bound
2020-07-22	259154063	214556156	316976834	269274	87754	1149414	49499	33122	49499	30779446	12217705	51667141	13714019	4772754	48599582	55647	0	452199	23070540	11114245	119136895	317960	142167	1440364	817492	393059	4216608	136221	50908	527501
2020-07-23	242353203	190766348	315018765	352042	119632	1348674	49499	44542	49499	38377289	16361446	54320774	17704137	6480533	53777692	87098	0	567186	28162692	13179156	135887119	332133	158989	1612449	998679	466554	4810969	138399	51086	563316
2020-07-24	222384910	164558970	312401377	456345	162556	1538372	49499	49499	49499	35745891	21687412	60774768	22570485	8752474	53869022	127674	10524	696311	34696418	15901248	154092600	376966	181287	1811525	1231119	563434	5456355	141899	51358	607299
2020-07-25	199467415	137241798	308916483	585180	219855	1702882	49499	49499	49499	38255800	28204170	69045621	28324279	11736399	49815465	179326	30970	835910	42962437	19468220	173142088	431798	210725	2035218	1525117	690372	6130878	147142	55328	660284
2020-07-26	174250206	110491575	304301061	740300	295470	1827883	49499	49499	49499	43664549	21757605	74784261	34859686	15588167	48002097	244418	57986	980683	53238061	24105970	192321466	522769	249383	2279060	1890479	855395	6809054	152056	61051	722801
2020-07-27	147834898	85994744	298231372	921174	393755	1794921	49499	49499	49499	45700478	16420004	76168673	39113807	20446142	55058735	325046	93589	1124225	65741444	30075626	210917266	636903	299800	2536860	2334877	1067778	7465509	158879	69032	794985
2020-07-28	121654096	65030908	290323663	1123854	518991	1692881	49499	49499	49499	55677717	12511674	73687117	34897486	26066354	59380759	422813	140187	1259805	80573444	37662055	228315215	777526	364978	2801404	2861772	1337625	8078494	173953	79854	876527
2020-07-29	97203361	48199599	280147929	1340131	674487	1737327	49499	49499	49499	64095636	15183697	74367955	42677984	28000809	63869786	538491	200484	1381202	97658309	47149972	244067596	947133	448305	3065295	3468309	1675014	8632268	199982	94239	966680
2020-07-30	75709563	35413650	267263721	1427194	850485	1864054	49499	49499	49499	57263596	16913887	73534548	41121287	23066960	65856669	671057	277192	1483403	116701928	58784862	257918071	1146794	553377	3321745	4143844	2088601	9117947	242153	113099	1064302
2020-07-31	57878039	26113593	251287887	1358608	1045032	2015567	49499	49499	49499	46793150	22183329	76114934	49165228	18738167	64160052	818076	372621	1563039	137188113	72719712	269788472	1375610	683669	3565167	4869837	2583718	9533002	293682	137483	1167978
2020-08-01	43827706	19548618	232000160	1567495	1138918	2108509	49499	49499	49499	38181317	28714511	74139315	56743478	15334051	63973486	975097	488127	1618490	158424682	88955286	279741526	1630431	842054	3791477	5621525	3160246	9879902	355398	168538	1276141
2020-08-02	33213455	14991911	209479050	1552266	1002534	2136917	49499	49499	49499	41503669	25631206	66026274	55647152	18785863	63819306	1136047	619068	1620311	179633325	107289652	287934894	1905926	1030226	3998146	6371158	3810829	10164450	427771	207446	1387173
2020-08-03	25440012	11847464	184235162	1779999	876329	2107329	49499	49499	49499	37409181	18774097	62472944	48957190	20831511	66708679	1293852	760916	1583511	200059407	127297303	294578084	2195068	1248130	4184052	7091922	4520146	10394249	510832	255322	1499500
2020-08-04	19998423	9496179	157278956	1973928	775785	2128327	49499	49499	49499	28932775	13500572	60180649	41871577	26643911	65178597	1441336	914728	1646182	219070422	148354081	299898372	2489915	1493554	4349220	7761450	5265840	10577478	604121	313100	1611678
2020-08-05	16260225	7835425	130048811	1873014	790195	2115779	49499	49499	49499	21808743	9594546	64448846	37608902	33197163	61245553	1464715	1075070	1705055	236218779	169709827	304117394	2782509	1762049	4494517	8364031	6021125	10722073	706696	381406	1722431
2020-08-06	13403572	7009400	104164607	1712165	869340	2161788	49499	49499	49499	16125754	6778051	72427314	40945374	27058932	55052614	1465365	1235228	1768815	251260437	190591934	307437289	3065681	2047241	4621369	8891246	6758508	10835238	817245	460456	1830689
2020-08-07	10750308	6328258	81066285	1539546	1079450	2126756	49499	49499	49499	11767895	4782957	74841807	35574011	21709361	56471808	1516555	1324742	1804774	264136117	210310621	310034147	3333624	2341501	4731515	9341258	7453544	10923223	934182	549996	1935588
2020-08-08	8891651	5781006	61688007	1439977	1308940	2013358	49499	49499	49499	8521587	3383975	69020026	29438661	17194593	56169027	1577021	1250468	1820675	274930009	228337746	312056400	3582173	2636808	4826815	9717309	8087626	10991276	1055764	649274	2036460
2020-08-09	7600870	5383340	46318448	1544920	1156773	1918509	49499	49499	49499	6151398	2406783	60506394	23967482	13478465	62380512	1691486	1175506	1823873	283821361	244343815	313626164	3808822	2925606	4909118	10025982	8649277	11043699	1180212	757123	2132827
2020-08-10	6688374	5092009	34687747	1386692	1005364	1897548	49499	49499	49499	4442571	1723480	50609759	19252353	10478761	66069727	1767658	1101092	1841707	291040090	258193939	314639349	4012541	3201479	4980169	10275607	9133966	11072007	1305815	872062	2224368
2020-08-11	6178524	4877136	26193228	1223759	868992	1965113	49499	49499	49499	3218475	1243434	40606304	15296105	8093859	62995633	1717957	1048446	1839201	296832107	269914864	315172984	4193492	3459559	5041563	10475029	9542908	11089092	1431006	992403	2310903
2020-08-12	6102817	4717792	20132599	1070893	748496	2112451	49499	49499	49499	2342949	903798	31451915	12045742	6220003	57999882	1655593	1156854	1860596	301435674	279648684	315590778	4352710	3696643	5094718	10632773	9881380	11102277	1554416	1116369	2392366
2020-08-13	6079501	4649517	15861190	931226	643594	2156423	49499	49499	49499	1715376	661501	23679221	9419169	4761088	51729849	1583906	1283199	1838269	304943853	287606307	315918367	4491795	3911089	5140868	10751155	10157060	11112445	1674896	1242210	2468781
2020-08-14	6061631	4510433	12860547	806240	553297	2073545	49499	49499	49499	1263414	487148	17447335	7324095	3633225	44856583	1520623	1441965	1795276	307657430	294028582	316175756	4612665	4102574	5181079	10843046	10378636	11120282	1791525	1368291	2540241
2020-08-15	6047930	4331712	10745879	696193	476219	1949333	49499	49499	49499	942155	360641	12663502	5669900	2766019	37958597	1587291	1407828	1769110	309783227	299158099	316378520	4717352	4271782	5216253	10916037	10554806	11126319	1903597	1493152	2606894
2020-08-16	6024547	4235006	9244914	600512	410813	1796746	49499	49499	49499	706214	268155	9107347	4374153	2102005	31461278	1537750	1323118	1752743	311873835	303221353	316695222	4807865	4420090	5247152	10986935	10693655	11148233	2010605	1615548	2668926
2020-08-17	5925989	4196224	8169875	518115	355517	1628370	49499	49499	49499	531501	200097	6522784	3365440	1595192	25626894	1455273	1238930	1794311	313589553	306419300	317160528	4886099	4549295	5274417	11046261	10802323	11159634	2112214	1734457	2726546
2020-08-18	5851336	4167073	7392576	447657	308857	1455072	49499	49499	49499	401379	149735	4671390	2583938	1209304	20577347	1371005	1156431	1857571	314894339	308923879	317605666	4953782	4661391	5298580	11089314	10886900	11176744	2208242	1849081	2779982
2020-08-19	5794703	4145140	6825495	387700	269492	1285338	49499	49499	49499	303971	111785	3355455	1980711	916032	16330871	1286583	1076486	1874937	315897877	310878338	318022523	5012449	4758405	5320086	11122073	10952438	11189696	2298625	1958826	2829471
2020-08-20	5751689	4128625	6362735	336827	236241	1125145	49499	49499	49499	230731	83597	2422311	1516420	693461	12839263	1203295	999713	1843262	316669598	312399659	318344462	5062106	4842287	5339306	11141054	11003049	11199493	2383399	2063286	2875248
2020-08-21	5718989	4116184	6099710	293719	208087	978208	49499	49499	49499	173971	62618	1759418	1159852	524728	10018582	1122122	926526	1794694	317063847	313581947	318593850	5105294	4914840	5356146	11158958	11042027	11206900	2462675	2162212	2917549
2020-08-22	5443817	4106806	6013850	257184	184166	846388	49499	49499	49499	130240	46962	1286276	886477	396912	7771196	1043785	857173	1732765	317488608	314500042	318787769	5143159	4977686	5368465	11159865	11071985	11208925	2536619	2255492	2956606
2020-08-23	5189757	4099736	6008214	226176	163753	730162	49499	49499	49499	97574	35253	946355	677154	300151	5999820	968788	791780	1660808	317522536	315212940	318895332	5176839	5032254	5379661	11160561	11094972	11211648	2605439	2343118	2992638
2020-08-24	5001636	4094405	6006952	199793	146249	629054	49499	49499	49499	73403	26483	700332	517037	226933	4615323	897460	730370	1581821	317550679	315766843	318936971	5211042	5079781	5389859	11161095	11112589	11214682	2669372	2425172	3025859
2020-08-25	4861683	4090383	6005983	177268	131158	541995	49499	49499	49499	55215	19905	520929	394650	171550	3540247	829989	672895	1498402	317574222	316197749	319004637	5241216	5121324	5399165	11161505	11126077	11220985	2728668	2501795	3056468
2020-08-26	4757179	4087349	6005239	157959	118073	467597	49499	49499	49499	41572	14968	389175	301158	129669	2709641	766452	619254	1412727	317594088	316533596	319172786	5267959	5157782	5407673	11163469	11136396	11225959	2783591	2573181	3084655
2020-08-27	4678919	4085061	6004668	141328	106664	404352	49499	49499	49499	31323	11258	291796	229897	98003	2070407	706843	569308	1326568	317610998	316796011	319309854	5291767	5189912	5415462	11166526	11144287	11229704	2834402	2639553	3110599
2020-08-28	4620182	4083334	6004230	126932	96658	350763	49499	49499	49499	23613	8470	219425	176055	74066	1579922	651093	522891	1241325	317628720	317001692	319417609	5313051	5218347	5422603	11168858	11145828	11232524	2881364	2701159	3134466
2020-08-29	4576022	4082030	6003893	114406	87836	305424	49499	49499	49499	17808	6374	165391	134807	55973	1204435	599088	479823	1158068	317701070	317105347	319502905	5332154	5243618	5429159	11170637	11145982	11234647	2924729	2758256	3156414
2020-08-30	4542778	4081047	6003635	103448	80017	267065	49499	49499	49499	13434	4797	124894	103215	42298	917488	550681	439919	1077591	317759458	317163685	319570947	5349362	5266167	5435183	11171994	11157397	11236245	2964744	2811109	3176590
2020-08-31	4537870	4080305	6003437	93813	73053	234568	49499	49499	49499	10137	3611	94449	79021	31963	698499	505705	402987	1000451	317806942	317393033	319625691	5364914	5286366	5440725	11173029	11162262	11237448	3001644	2859980	3195128
